"Module","Service","Function","Endpoint","Create DTO","Update DTO","Detail DTO","List DTO","Filter DTO","Fields"
"BusinessProcess","BusinessProcessService","updateTimer","POST /bpmapi/bpmForm/update/timer","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","updateType","POST /bpmapi/bpmForm/update/type","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","updateType","GET `${urlsApi.businessProcess.getTimer}?nodeId=${id}`","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","getTimer","GET `${urlsApi.businessProcess.getTimer}?nodeId=${id}`","","","Query DTO: id required.","","",""
"BusinessProcess","BusinessProcessService","updateArtifactMetadata","POST /bpmapi/artifactMetadata/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","listArtifactMetadata","GET /bpmapi/artifactMetadata/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BusinessProcess","BusinessProcessService","getArtifactMetadata","GET /bpmapi/artifactMetadata/get","","","Query DTO: id required.","","",""
"BusinessProcess","BusinessProcessService","deleteArtifactMetadata","DELETE /bpmapi/artifactMetadata/delete","","","","","",""
"BusinessProcess","BusinessProcessService","updateBpmObject","POST /bpmapi/bpmObject/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","detailBpmObject","GET /bpmapi/bpmObject/getByProcessId","","","Query DTO: id required.","","","id:number|string required<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","onGetErrorLog","GET /bpmapi/findByCriteria","","","Query DTO: id required.","","","id:number|string required<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","exportDataProcess","POST /bpmapi/businessProcess/exportExcel","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","getUrlExportDataProcess","GET /bpmapi/businessProcess/exportExcel/status","","","Query DTO: id required.","","","id:number|string required<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","importDataProcess","POST /bpmapi/businessProcess/importExcel","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","listStates","GET /bpmapi/stateMapping/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BusinessProcess","BusinessProcessService","createState","POST /bpmapi/stateMapping/update","Body DTO: id optional for create, id required for update, business fields from form state.","","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","updateState","POST /bpmapi/stateMapping/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessProcess","BusinessProcessService","deleteState","DELETE /bpmapi/stateMapping/delete","","","","","",""
"BusinessRuleItem","BusinessRuleItemService","list","GET /bpmapi/businessRuleItem/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BusinessRuleItem","BusinessRuleItemService","update","POST /bpmapi/businessRuleItem/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessRuleItem","BusinessRuleItemService","updateActive","POST /bpmapi/businessRuleItem/updateActive","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean required<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessRuleItem","BusinessRuleItemService","detail","GET /bpmapi/businessRuleItem/detail","","","Query DTO: id required.","","",""
"BusinessRuleItem","BusinessRuleItemService","delete","DELETE /bpmapi/businessRuleItem/delete","","","","","",""
"BusinessRule","BusinessRuleService","list","GET /bpmapi/businessRule/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"BusinessRule","BusinessRuleService","update","POST /bpmapi/businessRule/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessRule","BusinessRuleService","updateActive","POST /bpmapi/businessRule/updateActive","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean required<br>pageIndex|pageSize|keyword:number|string optional"
"BusinessRule","BusinessRuleService","detail","GET /bpmapi/businessRule/detail","","","Query DTO: id required.","","",""
"BusinessRule","BusinessRuleService","delete","DELETE /bpmapi/businessRule/delete","","","","","",""
"CampaignMarketing","CampaignMarketingService","list","GET /adminapi/marketing/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CampaignMarketing","CampaignMarketingService","update","POST /adminapi/marketing/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignMarketing","CampaignMarketingService","updateStatus","POST /adminapi/marketing/update/status","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean required<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignMarketing","CampaignMarketingService","detail","GET /adminapi/marketing/get","","","Query DTO: id required.","","",""
"CampaignMarketing","CampaignMarketingService","delete","DELETE /adminapi/marketing/delete","","","","","",""
"CampaignMarketing","CampaignMarketingService","listMABudget","GET /adminapi/marketingBudget/list","","","Query DTO: id required.","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string required<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CampaignMarketing","CampaignMarketingService","updateMABudget","POST /adminapi/marketingBudget/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","Query DTO: id required.","","","id:number|string required<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignMarketing","CampaignMarketingService","updateMABudgetStatus","POST /adminapi/marketingBudget/update/status","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","Query DTO: id required.","","","id:number|string required<br>name|title|code:string required<br>status|active|isActive:number|boolean required<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignMarketing","CampaignMarketingService","detailMABudget","GET /adminapi/marketingBudget/get","","","Query DTO: id required.","","",""
"CampaignMarketing","CampaignMarketingService","deleteMABudget","DELETE /adminapi/marketingBudget/delete","","","Query DTO: id required.","","",""
"CampaignMarketing","CampaignMarketingService","listMAChannel","GET /adminapi/marketingChannel/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CampaignMarketing","CampaignMarketingService","updateMAChannel","POST /adminapi/marketingChannel/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignMarketing","CampaignMarketingService","detailMAChannel","GET /adminapi/marketingChannel/get","","","Query DTO: id required.","","",""
"CampaignMarketing","CampaignMarketingService","deleteMAChannel","DELETE /adminapi/marketingChannel/delete","","","","","",""
"CampaignMarketing","CampaignMarketingService","listMAMeasurement","GET /adminapi/marketingMeasurement/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CampaignMarketing","CampaignMarketingService","updateMAMeasurement","POST /adminapi/marketingMeasurement/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignMarketing","CampaignMarketingService","detailMAMeasurement","GET /adminapi/marketingMeasurement/get","","","Query DTO: id required.","","",""
"CampaignMarketing","CampaignMarketingService","deleteMAMeasurement","DELETE /adminapi/marketingMeasurement/delete","","","","","",""
"CampaignMarketing","CampaignMarketingService","listMAReport","GET /adminapi/marketingReport/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","Advanced filter object/query; must accept dynamic attribute conditions where configured.","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CampaignMarketing","CampaignMarketingService","updateMAReport","POST /adminapi/marketingReport/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","Advanced filter object/query; must accept dynamic attribute conditions where configured.","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignMarketing","CampaignMarketingService","detailMAReport","GET /adminapi/marketingReport/get","","","Query DTO: id required.","","Advanced filter object/query; must accept dynamic attribute conditions where configured.",""
"CampaignMarketing","CampaignMarketingService","deleteMAReport","DELETE /adminapi/marketingReport/delete","","","","","Advanced filter object/query; must accept dynamic attribute conditions where configured.",""
"CampaignOpportunity","CampaignOpportunityService","list","GET /adminapi/campaignOpportunity/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CampaignOpportunity","CampaignOpportunityService","listViewSale","GET /adminapi/campaignOpportunity/list/view_sale","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CampaignOpportunity","CampaignOpportunityService","update","POST /adminapi/campaignOpportunity/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","updateBatch","POST /adminapi/campaignOpportunity/update/batch","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","detail","GET /adminapi/campaignOpportunity/get","","","Query DTO: id required.","","",""
"CampaignOpportunity","CampaignOpportunityService","delete","DELETE /adminapi/campaignOpportunity/delete","","","","","",""
"CampaignOpportunity","CampaignOpportunityService","opportunityProcessUpdate","POST /adminapi/opportunityProcess/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","opportunityProcessDelete","DELETE /adminapi/opportunityProcess/delete","","","","","",""
"CampaignOpportunity","CampaignOpportunityService","changeEmployee","POST /adminapi/campaignOpportunity/change/employee","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","changeSale","POST /adminapi/campaignOpportunity/change/sale","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","opportunityExchange","GET /adminapi/opportunityExchange/list","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","deleteOpportunityExchange","DELETE /adminapi/opportunityExchange/delete","","","","","",""
"CampaignOpportunity","CampaignOpportunityService","addOpportunityExchange","POST /adminapi/opportunityExchange/update","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","updateOpportunityExchange","GET /adminapi/opportunityExchange/get","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","",""
"CampaignOpportunity","CampaignOpportunityService","listOpportunity","GET /adminapi/opportunity/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CampaignOpportunity","CampaignOpportunityService","opportunityCheck","GET /adminapi/campaignOpportunity/check","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","sendEmail","POST /adminapi/customer/campaign/send/email","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","opportunityContact","POST /adminapi/opportunityContact/update","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","detailOpportunityContact","GET /adminapi/opportunityContact/detail","","","Query DTO: id required.","","","id:number|string required<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","OpportunityEformUpdate","POST /adminapi/opportunityEform/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","OpportunityEformDetail","GET /adminapi/opportunityEform/get/criteria","","","Query DTO: id required.","","","id:number|string required<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","addCoyViewer","POST /adminapi/campaignOpportunityViewer/update","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignOpportunity","CampaignOpportunityService","lstCoyViewer","GET /adminapi/campaignOpportunityViewer/list","","","","","",""
"CampaignOpportunity","CampaignOpportunityService","deleteCoyViewer","DELETE /adminapi/campaignOpportunityViewer/delete","","","","","",""
"CampaignPipeline","CampaignPipelineService","list","GET /adminapi/campaignPipeline/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CampaignPipeline","CampaignPipelineService","update","POST /adminapi/campaignPipeline/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CampaignPipeline","CampaignPipelineService","detail","GET /adminapi/campaignPipeline/get","","","Query DTO: id required.","","",""
"CampaignPipeline","CampaignPipelineService","delete","DELETE /adminapi/campaignPipeline/delete","","","","","",""
"Campaign","CampaignService","list","GET /adminapi/campaign/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Campaign","CampaignService","listViewSale","GET /adminapi/campaign/list/view_sale","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Campaign","CampaignService","update","POST /adminapi/campaign/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Campaign","CampaignService","detail","GET /adminapi/campaign/get","","","Query DTO: id required.","","",""
"Campaign","CampaignService","delete","DELETE /adminapi/campaign/delete","","","","","",""
"Campaign","CampaignService","listConvertRate","GET /adminapi/opportunityProcess","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","",""
"Campaign","CampaignService","updateStatus","POST /adminapi/campaign/update/status","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean required<br>pageIndex|pageSize|keyword:number|string optional"
"Campaign","CampaignService","listActionScore","GET /adminapi/api/v1/score/action","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Campaign","CampaignService","updateStep3","POST /adminapi/api/v1/score/insertMulti","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Campaign","CampaignService","listDataStep3","GET /adminapi/api/v1/score/campaign","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Campaign","CampaignService","updateStep4","POST /adminapi/campaign/sale-point-config/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Campaign","CampaignService","listDataScoreEmployee","GET /adminapi/campaign/sale-point-config/get","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Campaign","CampaignService","listSale","GET /adminapi/campaignSale/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Campaign","CampaignService","statisticApproach","GET /adminapi/campaignOpportunity/statisticApproach","","","","","Advanced filter object/query; must accept dynamic attribute conditions where configured.","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Campaign","CampaignService","statisticSale","GET /adminapi/campaignOpportunity/statisticSale","","","","","Advanced filter object/query; must accept dynamic attribute conditions where configured.","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Campaign","CampaignService","statisticConvertRate","GET /adminapi/campaignOpportunity/statisticConvertRate","","","","","Advanced filter object/query; must accept dynamic attribute conditions where configured.","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Campaign","CampaignService","exportResult","GET /adminapi/campaignOpportunity/exportResult","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Campaign","CampaignService","exportAction","GET /adminapi/campaignOpportunity/exportAction","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Campaign","CampaignService","exportCustomer","GET /adminapi/campaignOpportunity/exportCustomer","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Campaign","CampaignService","updateConfigSLA","POST /adminapi/campaign/sla-config","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CancelBiddingPackage","CancelBiddingPackageService","list","GET `${urlsApi.cancelBiddingPackage.list}${convertParamsToString(params)}`","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CancelBiddingPackage","CancelBiddingPackageService","update","POST urlsApi.cancelBiddingPackage.update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CancelBiddingPackage","CancelBiddingPackageService","detail","GET `${urlsApi.cancelBiddingPackage.detail}?id=${id}`","","","Query DTO: id required.","","",""
"CancelBiddingPackage","CancelBiddingPackageService","detail","DELETE `${urlsApi.cancelBiddingPackage.delete}?id=${id}`","","","Query DTO: id required.","","",""
"CancelBiddingPackage","CancelBiddingPackageService","delete","DELETE `${urlsApi.cancelBiddingPackage.delete}?id=${id}`","","","","","",""
"Card","CardService","list","GET /adminapi/card/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Card","CardService","update","POST /adminapi/card/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Card","CardService","delete","DELETE /adminapi/card/delete","","","","","",""
"CardService","CardServiceIdApiService","list","GET /api/cardService/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CardService","CardServiceService","list","GET /adminapi/cardService/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CardService","CardServiceService","update","POST /adminapi/cardService/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CardService","CardServiceService","detail","GET /adminapi/cardService/get","","","Query DTO: id required.","","",""
"CardService","CardServiceService","delete","DELETE /adminapi/cardService/delete","","","","","",""
"Career","CareerService","list","GET /adminapi/career/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Career","CareerService","update","POST /adminapi/career/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Career","CareerService","delete","DELETE /adminapi/career/delete","","","","","",""
"Cashbook","CashbookService","list","GET /adminapi/cashbook/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"Cashbook","CashbookService","update","POST /adminapi/cashbook/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"Cashbook","CashbookService","detail","GET /adminapi/cashbook/get","","","Query DTO: id required.","","",""
"Cashbook","CashbookService","delete","DELETE /adminapi/cashbook/delete","","","","","",""
"Cashbook","CashbookService","export","GET /adminapi/cashbook/export","","","","","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CategoryProject","CategoryProjectService","list","GET /adminapi/projectType/list","","","","Query DTO: keyword?, pageIndex?, pageSize?, sort?, filters?, status?, date range?.","","id:number|string optional<br>name|title|code:string optional<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string required"
"CategoryProject","CategoryProjectService","update","POST /adminapi/projectType/update","Body DTO: id optional for create, id required for update, business fields from form state.","Body DTO or query id + mutable fields/status/action metadata.","","","","id:number|string optional<br>name|title|code:string required<br>status|active|isActive:number|boolean optional<br>pageIndex|pageSize|keyword:number|string optional"
"CategoryProject","CategoryProjectService","detail","GET /adminapi/projectType/get","","","Query DTO: id required.","","",""
